country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Australia,AU,Sydney,Darlinghurst,Surry Hills,"Surry Hills, NSW, Australia",Sydney,10091713,Surry Hills Studio - Your Perfect Base in Sydney,"No smoking:  No smoking any substance, including e-cigarettes. Lost Keys / Locked out of Apartment:   If you lose the key to the apartment building itself (i.e., the yellow security key) the cost of replacing it is $250. It will be deducted from your security deposit.  If you lock yourself out of the apartment, it is solely your responsibility to contact a locksmith to open the apartment door for you. You are also solely responsible for the cost of the locksmith, including the cost of replacing the lock mechanism if necessary. If the lock mechanism needs to be replaced by the locksmith,  you must provide 2 copies of the new key.",Entire home/apt,181,Apartment,0,1,Real Bed,1,2,0,1,"Bed linens', 'Dryer', 'Elevator', 'Essentials', 'Ethernet connection', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",-33.88029,151.21554,Yes,10,21,0,0,0,0,strict_14_with_grace_period,50,95,13764143,Ben,"New South Wales, Australia",64,1,1,Not Specified,Not Specified,No,Yes
Australia,AU,Sydney,Darlinghurst,Darlinghurst,"Darlinghurst, NSW, Australia",Sydney,10108388,Sydney Hyde Park City Apartment (checkin from 6am),"GENERAL HOUSE RULES: That guests have good behaviour, are responsible for any damage caused and leave the apartment clean and tidy.  That the apartment is only used for 2 guests  and not to be used for parties or events.  That guests are mindful of our neighbours, and adhere to safety and security rules of the building and staff.  Check-in : 2PM Check-out : 10AM EARLY CHECK-IN/CHECK-OUT:  If would like to change your check-in/check-out time, please let us know this information when making your booking.  We will make every effort to accommodate your request, however this may not always be possible as we have the cleaners, fresh linen drops and maintenance scheduled. LOST KEYS AND SECURITY TAG: In the unlikely event that the keys and security-tag are lost or stolen, for security reasons we will need to replace the lock, keys and security-tag. For this reason there is an additional charge of $450.  If you are in this unusual situation please contact me immediately so that I can ensure you",Entire home/apt,185,Apartment,1,1,Real Bed,1,2,0,1,"Air conditioning', 'Bed linens', 'Building staff', 'Carbon monoxide detector', 'Cleaning before checkout', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Dryer', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Fire extinguisher', 'First aid kit', 'Flat path to front door', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Microwave', 'Oven', 'Patio or balcony', 'Pool', 'Private living room', 'Refrigerator', 'Self check-in', 'Shampoo', 'Smoke detector', 'Step-free access', 'Step-free access', 'Stove', 'TV', 'Washer', 'Well-lit path to entrance', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",-33.87603,151.21346,No,2,30,5,16,35,265,moderate,120,100,16187044,DesireÃ©,Australia,109,1,1,within an hour,100,Yes,Yes
Australia,AU,Sydney,Lilyfield/Rozelle,Lilyfield/Rozelle,"Rozelle, NSW, Australia",Leichhardt,10109896,THE Place to See Sydney's FIREWORKS,"Treat our home in the way you'd expect yours to be looked after.  Be courteous of our neighbours, and our belongings; they may be material but they hold lots of memories for us.  This is our home, not a hotel, please treat it as such.  Rest assured we are in hospitality so you'll be taken care of as best we know how!",Entire home/apt,250,House,1,1,Real Bed,2,2,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",-33.86296,151.17956,Yes,2,1125,0,0,0,0,moderate,150,0,6517277,Kristin,"Sydney, New South Wales, Australia",0,1,1,Not Specified,Not Specified,No,No
Australia,AU,Sydney,Coogee,Coogee,"Coogee, NSW, Australia",Randwick,1016739,Private Room (2)  in Guest House at Coogee Beach,Leave it as you found it! Clean :),Private room,64,House,1,2,Real Bed,3,2,0,1,"24-hour check-in', 'Doorman', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free street parking', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Iron', 'Keypad', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Safety card', 'Self check-in', 'Smoke detector', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",-33.92398,151.25541,Yes,3,365,0,0,19,20,strict_14_with_grace_period,30,100,5595776,David,"Sydney, New South Wales, Australia",8,6,6,within a few hours,100,No,Yes
Australia,AU,Sydney,Fairlight,Not Specified,"Fairlight, NSW, Australia",Manly,10209136,"Friendly Apartment, 10m from Manly","This would best suit a down-to-earth, friendly person or couple who want to be near the water over the summer.  Non-smoking, no pets. Please do not have extra guests without notice.",Private room,36,Apartment,1,1,Real Bed,1,2,20,2,"Dryer', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Free parking on premises', 'Heating', 'Internet', 'Kitchen', 'Washer', 'Wifi'",-33.79629,151.26969,No,1,1125,0,0,0,0,flexible,0,95,52453573,Isaac,"Sydney, New South Wales, Australia",4,1,1,Not Specified,Not Specified,No,Yes
Australia,AU,Sydney,Not Specified,Not Specified,"Narrabeen, NSW, Australia",Warringah,10213499,Great studio opp. Narrabeen Lake,No smoking,Entire home/apt,117,Apartment,0,1,Real Bed,1,2,20,1,"Bed linens', 'Cable TV', 'Dog(s)', 'Essentials', 'Ethernet connection', 'Extra pillows and blankets', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Pets live on this property', 'Pool', 'Shampoo', 'TV', 'Washer', 'Wifi'",-33.71472,151.29792,Yes,1,1125,0,0,25,26,moderate,0,97,634664,Tracy,"New South Wales, Australia",61,1,1,within an hour,100,Yes,No
Australia,AU,Sydney,Balgowlah,Balgowlah,"Balgowlah, NSW, Australia",Manly,10416859,"Studio convenient to CBD, beaches, street parking.","Treat our home the way you would want your home to be treated. Keep towels hung. Recycle. Follow checkout rules posted for checkout--check room, take sheets off the bed, recycle. Have we run out of an essential?  Text us and we will get it to you. Did you forget something?  Text us and we can usually help.",Entire home/apt,45,Guest suite,1,4,Real Bed,1,5,25,2,"Accessible-height bed', 'Air conditioning', 'BBQ grill', 'Bed linens', 'Cable TV', 'Carbon monoxide detector', 'Childrenâ€™s books and toys', 'Childrenâ€™s dinnerware', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Garden or backyard', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Lockbox', 'Luggage dropoff allowed', 'Microwave', 'Outlet covers', 'Patio or balcony', 'Private entrance', 'Private living room', 'Refrigerator', 'Self check-in', 'Shampoo', 'Smoke detector', 'Step-free access', 'Step-free access', 'Step-free access', 'Stove', 'TV', 'Washer', 'Well-lit path to entrance', 'Wide doorway', 'Wide hallway clearance', 'Wifi'",-33.7975,151.26108,Yes,2,3,0,0,0,0,moderate,50,96,4548918,Leslie,"Sydney, New South Wales, Australia",104,1,1,Not Specified,Not Specified,No,Yes
Australia,AU,Sydney,Bondi Beach,North Bondi,"Bondi Beach, NSW, Australia",Waverley,10423504,Bondi Beach Dreaming 3-Bed House,"Guests should have Airbnb verification at time of booking. We expect guests to be respectful of our lovely neighbours and keep the noise down, especially after 10pm at night. No loud music at any time of day. That means no parties, move all social gatherings into the house after 10pm. No smoking inside the house. Pets welcome.",Entire home/apt,399,House,3,6,Real Bed,2,8,35,6,"BBQ grill', 'Bathtub', 'Bed linens', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Dryer', 'Essentials', 'Ethernet connection', 'Extra pillows and blankets', 'Family/kid friendly', 'Fireplace guards', 'Free parking on premises', 'Garden or backyard', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Hot water', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lockbox', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Pack â€™n Play/travel crib', 'Paid parking off premises', 'Patio or balcony', 'Pets allowed', 'Private entrance', 'Refrigerator', 'Self check-in', 'Shampoo', 'Single level home', 'Smoke detector', 'Smoking allowed', 'Stove', 'TV', 'Washer', 'Wifi'",-33.8872,151.27448,No,2,1125,0,0,0,0,strict_14_with_grace_period,185,96,2509326,Cat,AU,139,5,5,within an hour,100,No,Yes
Australia,AU,Sydney,Greenwich,Greenwich,"Greenwich, NSW, Australia",Lane Cove,10459480,Greenwich Fun and Luxury,We expect guests to respect the property as they would if it were their own.  We don't allow smoking indoors.,Entire home/apt,999,House,4,4,Real Bed,4,6,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pool', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",-33.8289,151.18563,Yes,5,1125,30,60,90,365,flexible,0,0,45186586,Craig,"Sydney, New South Wales, Australia",0,1,1,within a day,100,No,Yes
Australia,AU,Sydney,Marrickville,Not Specified,"Marrickville, NSW, Australia",Marrickville,1047087,The Garden Studio,"No smoking. Would prefer no shoes in the studio. Please take rubbish out when you leave, and empty coffee machine of used pods.",Entire home/apt,129,Guesthouse,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Breakfast', 'Carbon monoxide detector', 'Essentials', 'Fire extinguisher', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Other', 'Private entrance', 'Shampoo', 'Smoke detector', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",-33.90318,151.15036,No,2,40,30,60,90,365,strict_14_with_grace_period,60,97,3251237,Cath,"Sydney, New South Wales, Australia",146,1,1,within a few hours,100,Yes,Yes
