country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Brazil,BR,Rio De Janeiro,Jardim BotÃ¢nico,Jardim BotÃ¢nico,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim BotÃ¢nico,10009999,Horto flat with small garden,"I just hope the guests treat the space as theyÂ´re own, with respect to it as well as to my neighbours! Espero apenas que os hÃ³spedes tratem o lugar com carinho e respeito aos vizinhos!",Entire home/apt,317,Apartment,1,2,Real Bed,1,4,0,1,"Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Hot tub', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Smoking allowed', 'Washer', 'Wheelchair accessible', 'Wifi'",-22.96625355,-43.23074991,Yes,2,1125,0,0,0,0,flexible,187,0,1282196,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,1,Not Specified,Not Specified,No,No
Brazil,BR,Rio De Janeiro,Lagoa,Lagoa,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,10030955,Apt Linda Vista Lagoa - Rio,no rules,Private room,701,Apartment,1,1,Real Bed,2,2,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Gym', 'Internet', 'Kitchen', 'Pool', 'TV', 'Washer', 'Wifi'",-22.97195099,-43.20504708,Yes,1,1125,28,58,88,363,flexible,250,0,51496939,Livia,BR,0,1,1,Not Specified,Not Specified,No,No
Brazil,BR,Rio De Janeiro,Copacabana,Copacabana,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,10038496,Copacabana Apartment Posto 6,Entreguem o imÃ³vel conforme receberam e respeitem as regras do condomÃ­nio para nÃ£o serem incomodados.  NÃ£o danificar os utensÃ­lios e tudo que se refere as boas condiÃ§Ãµes referentes ao mesmo . NÃ£o fazer barulho apÃ³s Ã s 22:00  atÃ© Ã s 8:00. Usar entrada de serviÃ§o se estiver molhado voltando da praia.,Entire home/apt,119,Apartment,1,3,Real Bed,2,4,40,3,"Air conditioning', 'Bed linens', 'Buzzer/wireless intercom', 'Cable TV', 'Coffee maker', 'Dishes and silverware', 'Doorman', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Smoking allowed', 'Stove', 'TV', 'Washer', 'Wide hallway clearance', 'Wifi'",-22.98433936,-43.19084919,No,3,75,7,19,33,118,strict_14_with_grace_period,150,98,51530266,Ana ValÃ©ria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",70,2,2,within an hour,100,Yes,Yes
Brazil,BR,Rio De Janeiro,Catete,Catete,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,10051164,Catete's Colonial Big Hause Room B,no rules,Private room,250,House,1,8,Real Bed,4,8,40,4,"Air conditioning', 'Cable TV', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Internet', 'Kitchen', 'Smoking allowed', 'TV', 'Wifi'",-22.92638235,-43.18015675,Yes,2,1125,10,10,21,296,strict_14_with_grace_period,0,80,51326285,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",1,5,5,within an hour,80,No,Yes
Brazil,BR,Rio De Janeiro,Recreio dos Bandeirantes,Not Specified,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,10069642,Ã“timo Apto proximo Parque Olimpico,no rules,Entire home/apt,858,Apartment,2,2,Real Bed,2,5,75,1,"Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Gym', 'Hair dryer', 'Internet', 'Iron', 'Kitchen', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",-23.00035793,-43.43111231,No,15,20,0,0,0,0,strict_14_with_grace_period,112,0,51670240,Jonathan,"Resende, Rio de Janeiro, Brazil",0,1,1,Not Specified,Not Specified,No,No
Brazil,BR,Rio De Janeiro,Laranjeiras,Not Specified,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,10116578,Apartamento zona sul do RJ,no rules,Entire home/apt,933,Apartment,3,3,Real Bed,1,5,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Elevator', 'Family/kid friendly', 'Free parking on premises', 'Iron', 'Kitchen', 'Washer', 'Wheelchair accessible', 'Wifi'",-22.93054146,-43.18259548,No,1,1125,30,60,90,365,flexible,0,0,51915770,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,1,Not Specified,Not Specified,No,No
Brazil,BR,Rio De Janeiro,Vila Isabel,Not Specified,"Rio de Janeiro, Rio de Janeiro, Brazil",Vila Isabel,10184012,Apto semi mobiliado,Levar roupa de cama e banho.,Entire home/apt,380,Apartment,2,2,Real Bed,1,2,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Hangers', 'Iron', 'Kitchen', 'Washer'",-22.91500935,-43.24277868,No,1,1125,30,60,90,365,flexible,0,0,52299431,Ricardo,BR,0,1,1,Not Specified,Not Specified,No,No
Brazil,BR,Rio De Janeiro,Not Specified,Santa Teresa,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,10201975,Ipanema: moderno apÃª 2BR + garagem,"* NÃ£o Ã© permitido realizar festas e ou outros eventos no apartamento. * Ambiente familiar. Por favor, respeite os vizinhos e as horas de silÃªncio entre 22h e 10h.  * Desculpe, nÃ³s nÃ£o aceitamos animais, domÃ©sticos e de pequeno porte; * Visitas nÃ£o sÃ£o permitidas sem identificaÃ§Ã£o. A identificaÃ§Ã£o consiste em enviar o documento com a fotografia Ã s anfitriÃ£s e ao porteiro;  * Os visitantes que pernoitarem serÃ£o contados como hÃ³spedes adicionais e deve pagar o valor correspondente: + R $ 50 / pessoa / dia;  * NÃ£o Ã© permitido o uso de drogas ilÃ­citas. Por favor, evite constrangimentos e problemas com a polÃ­cia. * Por favor, retire o lixo e lave sua louÃ§a antes de sair;  * O lixo deve ser descartado de forma separada para reciclagem, em lixeiras localizadas na garagem do edifÃ­cio; * Por favor, cuide do espaÃ§o com amor e respeito.",Entire home/apt,298,Apartment,2,2,Real Bed,2,4,50,2,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",-22.98005168,-43.19984555,No,4,1125,24,54,84,174,strict_14_with_grace_period,180,92,2537111,Barbara,"Rio de Janeiro, State of Rio de Janeiro, Brazil",24,13,13,within a few hours,92,Yes,Yes
Brazil,BR,Rio De Janeiro,Recreio dos Bandeirantes,Recreio dos Bandeirantes,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,10220130,Cozy aptartment in Recreio (near Olympic Venues),no rules,Entire home/apt,746,Apartment,3,3,Real Bed,3,6,187,4,"Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free parking on premises', 'Gym', 'Hangers', 'Hot tub', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pool', 'Safety card', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50'",-23.00871078,-43.45296045,Yes,2,30,0,0,0,0,flexible,373,0,31553171,JosÃ© Augusto,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,1,Not Specified,Not Specified,No,Yes
Brazil,BR,Rio De Janeiro,Tijuca,Tijuca,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,10228731,Quarto inteiro na Tijuca,"Regras a serem informadas quando di contato hÃ³spede-anfitriao, mas basicamente aquelas centradas na boa convivÃªncia humana.",Private room,149,Apartment,1,1,Real Bed,2,1,0,1,"Family/kid friendly', 'Free parking on premises', 'Internet', 'Kitchen', 'Washer', 'Wifi'",-22.93620325,-43.24742191,No,1,15,28,58,88,178,flexible,30,100,12673423,Gilberto,"Rio, Rio de Janeiro, Brazil",1,2,2,Not Specified,Not Specified,No,No
