country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Canada,CA,Montreal,Mile End,Mile End,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,10057447,Modern Spacious 1 Bedroom Loft,no rules,Entire home/apt,50,Apartment,1,2,Real Bed,1,4,31,1,"24-hour check-in', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Safety card', 'Shampoo', 'Smoke detector', 'Washer', 'Wifi'",45.51889,-73.59111,Yes,1,1125,0,0,0,0,flexible,0,0,51612949,Konstantin,"Montreal, Quebec, Canada",0,1,1,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Hochelaga-Maisonneuve,Not Specified,"MontrÃ©al, QuÃ©bec, Canada",Mercier-Hochelaga-Maisonneuve,10059244,Ligne verte - Ã  15 min de mÃ©tro du centre ville.,Non fumeur Respect des voisins Respect des biens  Merci! :),Entire home/apt,43,Apartment,0,1,Real Bed,1,2,12,1,"Bed linens', 'Essentials', 'Free parking on premises', 'Heating', 'Hot water', 'Internet', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",45.54548,-73.54949,No,2,1125,0,0,0,32,moderate,0,0,7140229,Caro,"Montreal, Quebec, Canada",0,1,1,within an hour,100,No,No
Canada,CA,Montreal,Le Plateau-Mont-Royal,Le Plateau,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,10066928,3 chambres au coeur du Plateau,Merci de respecter ce lieu de vie.,Entire home/apt,140,Apartment,3,3,Real Bed,1,6,0,1,"Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Washer', 'Wifi'",45.52233,-73.57383,Yes,1,1125,0,0,0,0,flexible,0,0,9036477,Margaux,"Montreal, Quebec, Canada",0,2,2,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Le Plateau-Mont-Royal,Mile End,"Montreal, QC, Canada",Le Plateau-Mont-Royal,1019168,"Cozy Nest, heart of the Plateau","Hi Guest! Hope you will have an awesome stay at our place. Aside from keeping things clean and not screaming after midnight, we don't have many rules. Here are however the things you should pay attention to: 1 - Whenever you leave the house, please make sure the windows and back door are closed and locked. 2 - The front door can be a bit hard to shut so make sure to give it the extra push or pull so that it locks properly. 3 - There is a washer and dryer downstairs in the basement, which you can access through the living room. The basement light switches are on the pillar, situated at the bottom of the stairs on the left.  Our linen closet is filled with extra blankets and bed sheets. it is in the beige closet at the bottom of the basement stairs. 4 - If you use the microwave at the same time as the toaster or electric kettle, it will blow a fuse so try to remember not to do it. If it happens, no big deal, it can be switched back on through the electric panel in the basement. VoilÃ  ! i",Private room,34,Apartment,1,1,Real Bed,1,1,10,1,"BBQ grill', 'Cat(s)', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Garden or backyard', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lockbox', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Paid parking off premises', 'Pets live on this property', 'Refrigerator', 'Self check-in', 'Shampoo', 'Smoke detector', 'Stove', 'TV', 'Washer', 'Wifi'",45.52028,-73.58774,Yes,2,120,0,0,0,0,strict_14_with_grace_period,25,98,39300,Lilou,"Montreal, Quebec, Canada",62,1,1,within a day,100,Yes,Yes
Canada,CA,Montreal,Le Plateau-Mont-Royal,Mile End,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,10675315,"Cozy, dreamy Mile End apartment",no rules,Private room,30,Apartment,1,1,Real Bed,1,2,15,1,"Cat(s)', 'Dryer', 'Essentials', 'Hair dryer', 'Hangers', 'Heating', 'Kitchen', 'Laptop friendly workspace', 'Pets live on this property', 'Smoke detector', 'TV', 'Washer', 'Wifi'",45.52517,-73.60137,Yes,2,1125,0,0,0,0,strict_14_with_grace_period,20,0,5173928,Uma,"Toronto, Ontario, Canada",0,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Downtown Montreal,Downtown Montreal,"MontrÃ©al, QuÃ©bec, Canada",Ville-Marie,11080033,Sunny Bedroom in Downtown Montreal,no rules,Private room,21,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Dryer', 'Fire extinguisher', 'Hangers', 'Heating', 'Internet', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Safety card', 'Smoke detector', 'Washer', 'Wifi'",45.49039,-73.58595,Yes,14,1125,0,0,0,0,flexible,0,80,57521137,Cristina,CA,1,1,1,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Le Plateau,Ville-Marie,"MontrÃ©al, QuÃ©bec, Canada",Ville-Marie,11364106,cozy house and garden in the heart of MontrÃ©al,no rules,Entire home/apt,64,Apartment,2,2,Real Bed,1,4,0,2,"24-hour check-in', 'Cat(s)', 'Dryer', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets live on this property', 'Smoke detector', 'TV', 'Washer', 'Wifi'",45.53481,-73.55985,Yes,2,1125,0,0,0,0,flexible,25,100,7747793,Teodora,"Montreal, Quebec, Canada",5,1,1,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Downtown Montreal,Gay Village,"MontrÃ©al, QuÃ©bec, Canada",Ville-Marie,11420459,Loue 1 chambre privÃ©e,no rules,Private room,60,Apartment,1,1,Real Bed,2,1,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'TV', 'Washer', 'Wifi'",45.51625,-73.55495,Yes,1,1125,0,0,0,0,flexible,0,0,24081198,Jeremy,CA,0,2,2,Not Specified,Not Specified,No,No
Canada,CA,Montreal,Saint-Henri,Le Plateau,"MontrÃ©al, QuÃ©bec, Canada",Le Sud-Ouest,11442936,1 sunny bedroom in large St-Henri appartment,We'd like to have friendly and respectful guests.,Private room,70,Apartment,1,2,Real Bed,1,2,0,1,"Dog(s)', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets live on this property', 'Shampoo', 'TV', 'Washer', 'Wifi'",45.47348,-73.58664,Yes,3,15,0,0,0,0,strict_14_with_grace_period,0,100,9018452,Kim-Sanh,"Montreal, Quebec, Canada",2,2,2,Not Specified,Not Specified,No,Yes
Canada,CA,Montreal,Le Plateau-Mont-Royal,Le Plateau,"MontrÃ©al, QuÃ©bec, Canada",Le Plateau-Mont-Royal,11566403,Feel like home,"Enjoy as much as you can! No parties or friends over... If you lose the key u need to pay 25$( building's rule)... If you break something there is relevant charges. Smoking only allowed in the balcony,sorry but not that bad:)",Entire home/apt,55,Apartment,0,1,Real Bed,1,2,0,1,"Air conditioning', 'Bed linens', 'Cooking basics', 'Dishes and silverware', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Luggage dropoff allowed', 'Microwave', 'Oven', 'Patio or balcony', 'Pets allowed', 'Refrigerator', 'Shampoo', 'Smoke detector', 'Stove', 'TV', 'Washer', 'Well-lit path to entrance', 'Wifi'",45.51028,-73.57179,Yes,1,1125,0,9,30,143,strict_14_with_grace_period,30,92,61100954,Titi,CA,42,1,1,within a few hours,100,No,No
