country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10006546,Ribeira Charming Duplex,Make the house your home...,Entire home/apt,80,House,3,5,Real Bed,1,8,15,6,"Bed linens', 'Buzzer/wireless intercom', 'Cable TV', 'Cleaning before checkout', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Dishwasher', 'Essentials', 'Extra pillows and blankets', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Hot water', 'Iron', 'Kitchen', 'Microwave', 'Oven', 'Pack â€™n Play/travel crib', 'Paid parking off premises', 'Pets allowed', 'Refrigerator', 'Room-darkening shades', 'Smoking allowed', 'Stove', 'TV', 'Washer', 'Waterfront', 'Wifi'",41.1413,-8.61308,No,2,30,28,47,74,239,moderate,35,89,51399391,Ana&GonÃ§alo,"Porto, Porto District, Portugal",51,3,3,within an hour,100,No,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10083468,Be Happy in Porto,. No smoking inside the apartment. . Is forbidden receive or lead strange people to the apartment. . Only people that are part of the reservation should have access to the apartment. . Do not eat on the bedroom. . Do not drink things like wine or sugary drinks on the bedroom.,Entire home/apt,30,Loft,1,1,Real Bed,1,2,0,1,"Accessible-height bed', 'Bed linens', 'Cable TV', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Extra pillows and blankets', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Handheld shower head', 'Hangers', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Microwave', 'Paid parking on premises', 'Refrigerator', 'Smoking allowed', 'Step-free access', 'Step-free access', 'Step-free access', 'Stove', 'TV', 'Well-lit path to entrance', 'Wide clearance to bed', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",41.15225,-8.61123,No,2,1125,16,40,67,335,moderate,10,97,27518920,FÃ¡bio,"SÃ£o FÃ©lix da Marinha, Porto, Portugal",178,3,3,within an hour,90,Yes,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10112159,Downtown Oporto Inn (room cleaning),"Devem respeitar o descanso dos restantes hÃ³spedes, ser corteses e educados e nÃ£o trazer gente estranha para as instalaÃ§Ãµes. | Guests must respect other guest's rest, be polite, and do not bring outsiders to the facilities. Smoking not allowed except on the patio.",Private room,40,Hostel,1,1,Real Bed,1,2,25,2,"Cable TV', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Hot water', 'Lock on bedroom door', 'Long term stays allowed', 'Other', 'Shampoo', 'Smoke detector', 'TV', 'Wifi'",41.1543,-8.60867,No,1,1125,30,60,87,359,moderate,50,0,2649859,Elisabete,"Porto, Porto, Portugal",0,2,2,Not Specified,Not Specified,No,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Vila do Conde, Porto, Portugal",Vila do Conde,10117617,A Casa Alegre Ã© um apartamento T1.,"Espero que tratem a minha casa bem, respeitando os objetos que ela contem e dos quais vÃ£o usufruir. NÃ£o fumar. NÃ£o sÃ£o permitidas festas. NÃ£o se aceitam animais. NÃ£o Ã© permitido fazer barulho depois das 23 horas e ate Ã s 8 da manha.",Entire home/apt,40,Apartment,1,1,Real Bed,1,2,0,2,"Bathtub', 'Beachfront', 'Buzzer/wireless intercom', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hangers', 'Heating', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Safety card', 'Shampoo', 'TV', 'Washer', 'translation missing: en.hosting_amenity_49'",41.3596,-8.75383,No,7,180,0,0,0,46,moderate,15,96,51920973,Manuela,"Porto, Porto District, Portugal",12,1,1,within a day,100,No,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10269320,FloresRooms 3T,"Se fumar, sÃ³ pedimos que o faÃ§a na varanda.",Entire home/apt,31,Apartment,0,1,Real Bed,1,2,0,1,"Bed linens', 'Cable TV', 'Elevator', 'Essentials', 'Extra pillows and blankets', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Hot water', 'Internet', 'Laptop friendly workspace', 'Lockbox', 'Self check-in', 'Shampoo', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",41.14404,-8.61205,No,2,1124,13,43,62,278,moderate,10,96,51724179,Andreia,"Porto, Porto District, Portugal",225,6,6,within an hour,100,Yes,Yes
Portugal,PT,Porto,Not Specified,MercÃªs,"Porto, Porto District, Portugal",Bonfim,1036027,BBC OPORTO 4X2,no rules,Entire home/apt,100,Apartment,4,8,Real Bed,2,8,0,1,"Cable TV', 'Elevator', 'Essentials', 'Family/kid friendly', 'Heating', 'Internet', 'Kitchen', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.16246,-8.60069,Yes,3,1125,0,10,15,264,flexible,0,88,3104922,Cristina,Madrid,71,3,3,within an hour,100,No,No
Portugal,PT,Porto,Not Specified,Not Specified,"Matosinhos, Porto, Portugal",Matosinhos e LeÃ§a da Palmeira,10448594,Where Castles and Art meet the Sea,"I think the main rule of the house is, take care of that as if, is your own house. If you decide to rent more then two weeks is mandatory a weekly cleaning, with an extra cost of 30â‚¬ per week.  The house has fibre TV with 130 channels, nevertheless, if any extra subscription will be activated during your stay, that amount will be charged to your account, on the end of your staying.",Entire home/apt,80,Apartment,1,2,Real Bed,1,4,0,1,"Buzzer/wireless intercom', 'Cable TV', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Free parking on premises', 'Hair dryer', 'Hangers', 'Heating', 'Hot tub', 'Indoor fireplace', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pool', 'Safety card', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",41.17544,-8.68887,No,5,1125,0,0,0,27,moderate,30,95,53059934,Jose,"Porto, Porto District, Portugal",13,1,1,within a few hours,100,No,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal",Bonfim,10487917,HeroÃ­smo IV,"I ask all the care with: - Noise from the 22 hours, especially when it comes to reach the apartment. - With decorative objects, furniture, bedding and bath, care in the handling of kitchen equipment. I am always available to answer any questions.",Entire home/apt,29,Apartment,0,1,Real Bed,1,2,0,2,"24-hour check-in', 'Bed linens', 'Cable TV', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Extra pillows and blankets', 'Fire extinguisher', 'First aid kit', 'Free street parking', 'Hair dryer', 'Handheld shower head', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Kitchen', 'Long term stays allowed', 'Microwave', 'Refrigerator', 'Room-darkening shades', 'Safety card', 'Shampoo', 'Single level home', 'Stove', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",41.1462,-8.59275,Yes,1,1125,16,42,61,309,moderate,10,89,9320470,Apartments2Enjoy,"Porto, Porto District, Portugal",31,9,9,within a day,100,Yes,No
Portugal,PT,Porto,Not Specified,Jardim Europa,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10560325,Spacious and well located apartment,"Cuidar do apartamento e dos pertences com o mesmo carinho que temos. O apartamento se situa numa zona estritamente residencial, e deve-se manter silÃªncio apÃ³s as 22 horas.  Apesar de adorarmos animais de estimaÃ§Ã£o, aqui eles nÃ£o sÃ£o bem-vindos, a nÃ£o com consulta e aprovaÃ§Ã£o prÃ©via, sujeita a uma cobranÃ§a extra de taxa de limpeza. NÃ£o fumar nas dependÃªncias do apartamento.",Entire home/apt,60,Apartment,2,3,Real Bed,1,6,8,3,"Buzzer/wireless intercom', 'Cable TV', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Long term stays allowed', 'Paid parking off premises', 'TV', 'Wifi'",41.16093,-8.6114,Yes,3,1125,0,16,46,314,strict_14_with_grace_period,25,89,12870591,Andre,"SÃ£o Paulo, Brazil",20,5,5,within a day,80,No,Yes
Portugal,PT,Porto,Not Specified,Not Specified,"Porto, Porto, Portugal","Cedofeita, Ildefonso, SÃ©, Miragaia, Nicolau, VitÃ³ria",10628126,Ribeira Smart Flat,"En accord avec la rÃ©glementation locale, nous vous demanderons de nous envoyer quelques informations d'identifications. Ces informations sont demandÃ©es par le Service aux FrontiÃ¨res Portugais. Fumeur: seulement sur le balcon Les animaux ne sont pas autorisÃ©s. Frais supplÃ©mentaire de 20 eur pour check in aprÃ¨s 22h00. PAS DE CHECK IN APRÃˆS 00H00 Nous demandons aux hÃ´tes de laisser l'appartement propre et de ne pas faire de bruit aprÃ¨s 22h par respect pour le voisinage.",Entire home/apt,80,Apartment,3,3,Real Bed,1,6,10,2,"Bed linens', 'Buzzer/wireless intercom', 'Coffee maker', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Kitchen', 'Long term stays allowed', 'Microwave', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Safety card', 'Shampoo', 'Stove', 'Washer', 'Wifi'",41.14295,-8.61602,No,2,1124,5,25,46,214,strict_14_with_grace_period,20,92,54662715,Mathieu,"Porto, Porto District, Portugal",132,4,4,within an hour,100,No,No
