country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
Spain,ES,Barcelona,Eixample,Dreta de l'Eixample,"Barcelona, Catalunya, Spain",la Dreta de l'Eixample,10082422,Nice room in Barcelona Center,no rules,Private room,50,Apartment,1,2,Real Bed,1,2,0,1,"Elevator', 'Hair dryer', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'Washer', 'Wifi'",41.40082,2.16942,Yes,1,9,0,0,0,0,flexible,10,0,30393403,Anna,"Barcelona, Catalonia, Spain",0,1,1,Not Specified,Not Specified,No,No
Spain,ES,Barcelona,Eixample,el Fort Pienc,"Barcelona, Catalunya, Spain",el Fort Pienc,10545725,Cozy bedroom Sagrada Familia,no rules,Private room,20,Apartment,1,2,Real Bed,1,2,0,1,"Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'Internet', 'Kitchen', 'Laptop friendly workspace', 'Pets allowed', 'TV', 'Washer', 'Wifi'",41.40087,2.17963,Yes,2,1125,0,0,0,0,flexible,20,100,1929411,Rapha,"Barcelona, Catalonia, Spain",1,1,1,Not Specified,Not Specified,No,Yes
Spain,ES,Barcelona,Can Baro,Vila de GrÃ cia,"Barcelona, Catalunya, Spain",Can BarÃ³,10558807,Park Guell apartment with terrace,"Check-in: from 14:00 pm.  Check-out: till 11:00 am. Charges for electricity, gas, water and community included. Any noises that could disturb the neighbors is not allowed. Certainly from the 22: 00h.  Smoking in the apartment is not allowed. Any parties are strictly prohibited.",Entire home/apt,85,Apartment,2,3,Real Bed,1,6,0,6,"Bed linens', 'Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'TV', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50'",41.41582,2.15836,Yes,2,1125,13,16,27,174,strict_14_with_grace_period,40,71,54320669,Alexandra Y Juan,"Barcelona, Catalonia, Spain",51,12,12,within an hour,100,No,Yes
Spain,ES,Barcelona,el Fort Pienc,Vila de GrÃ cia,"Barcelona, Catalunya, Spain",el Fort Pienc,10581101,Grand apartment Sagrada Familia,"Check-in: from 14:00 pm.  Check-out: till 11:00 am. Charges for electricity, gas, water and community included. Any noises that could disturb the neighbors is not allowed. Certainly from the 22: 00h.  Smoking in the apartment is not allowed. Any parties are strictly prohibited.",Entire home/apt,169,Apartment,4,6,Real Bed,2,8,0,10,"Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Paid parking off premises', 'Shampoo', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.39716,2.18146,Yes,2,1125,19,32,48,211,strict_14_with_grace_period,60,90,54320669,Alexandra Y Juan,"Barcelona, Catalonia, Spain",77,12,12,within an hour,100,No,Yes
Spain,ES,Barcelona,Sant MartÃ­,El Clot,"Barcelona, Catalunya, Spain",el Clot,10677883,Great location in Barcelona,"I would be happy if people that stays make no noisy after 22 o'clock, save energy and water for the world and take the garbage out before leaving. thank you all!",Entire home/apt,31,Apartment,4,4,Real Bed,1,5,0,2,"Air conditioning', 'Elevator', 'Family/kid friendly', 'Fire extinguisher', 'Hangers', 'Internet', 'Kitchen', 'Smoking allowed', 'Washer'",41.41254,2.19057,Yes,200,1125,23,53,83,358,strict_14_with_grace_period,7,60,6151720,Marina E Mickael,"PortimÃ£o, Faro District, Portugal",2,3,3,within an hour,100,No,No
Spain,ES,Barcelona,GrÃ cia,Vila de GrÃ cia,"Barcelona, Catalonia, Spain",la Vila de GrÃ cia,1070322,Triple room Barcelona Guell park,"CHECK IN BEFORE 23,30 (URL HIDDEN) NO SMOKING ROOM SIILENCE from 22.00 to 8.00  /  SCHEDULE SHOWER 7.00 to 22.00 TAXES 1â‚¬ per person per day (when receiving the keys) BATHROOM  Keep the sink clean Keep your towels and utensils in your room Closes the light when not in use",Private room,40,Condominium,1,3,Real Bed,1,3,8,4,"Cat(s)', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Paid parking off premises', 'Pets live on this property', 'Wifi'",41.40686,2.15533,Yes,2,1125,19,27,38,289,strict_14_with_grace_period,15,82,5888954,NÃºria,"Barcelona, Catalonia, Spain",191,2,2,within an hour,100,No,No
Spain,ES,Barcelona,Eixample,La Sagrada FamÃ­lia,"Barcelona, Catalunya, Spain",la Sagrada FamÃ­lia,10716793,DOUBLE ROOM for 1 or 2 ppl,no rules,Private room,15,Apartment,1,1,Real Bed,1,2,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets allowed', 'Smoking allowed', 'TV', 'Washer', 'Wifi'",41.41035,2.17519,Yes,1,1125,0,0,0,0,flexible,0,0,6486855,Aleksandra,"Warsaw, Masovian Voivodeship, Poland",0,1,1,Not Specified,Not Specified,No,No
Spain,ES,Barcelona,Eixample,Sants-MontjuÃ¯c,"Barcelona, Catalonia, Spain",la Nova Esquerra de l'Eixample,1079887,Trendy apartment in BCN centre,"- Check in/out time is flexible if there are no guests checking in/out the same day. Check-in after 21:00 has an extra fee of 30â‚¬. - It is not allowed to smoke inside the apartment. You can do it in the balcony!  - The use of the property in a careless, unruly manner or by having more people than the number allowed will result in the immediate termination of the rental agreement.  - Guests must return the property in the same clean conditions in which it was presented upon arrival.  - No loud noise after 10pm on weekdays and after midnight on weekends.",Entire home/apt,89,Apartment,2,2,Real Bed,1,4,10,2,"Air conditioning', 'Buzzer/wireless intercom', 'Doorman', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Kitchen', 'Luggage dropoff allowed', 'Paid parking on premises', 'TV', 'Washer', 'Wifi'",41.38475,2.14596,Yes,2,1125,8,10,15,280,moderate,30,93,542867,Gabriela & Miguel,"Barcelona, CataluÃ±a, Spain",104,3,3,within a day,76,No,No
Spain,ES,Barcelona,El GÃ²tic,El GÃ²tic,"Barcelona, Catalunya, Spain",el Barri GÃ²tic,10802909,Room in the very â™¥ of BCN - Unbeatable location,"- Keep noise levels down and after 21:00 there is a no noise policy - Please throw your garbage in the street after 20:00 - Smoking is allowed on the terrace but not inside - Bathroom and shower are shared with other guests in the house and the housekeeper/cleaning lady cleans both every day. - No friends or extra guests that have not been notified of can enter the flat - Late check in fee payable ONLY in cash at the check in is 20 euro from 21:00 - 23:00 and 40 euro from 23:00 till late... - It's very important to arrange your check-in time as soon as possible and to communicate the flight number/code. - Children are counted as an extra person please include them when booking - Keys : Getting keys cut in Barcelona can be expensive. We understand accidents happen, but should they get lost or you forget to give them back at the end of your stay, you will be charged 50â‚¬ to replace them.  -----------------------------------------------------------------------------------------------------",Private room,40,Condominium,1,2,Real Bed,1,2,0,1,"24-hour check-in', 'Bed linens', 'Buzzer/wireless intercom', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Private entrance', 'Wifi', 'translation missing: en.hosting_amenity_50'",41.38049,2.17778,Yes,2,1125,8,14,27,253,strict_14_with_grace_period,10,78,55390614,Flo,"Barcelona, Catalonia, Spain",122,5,5,within an hour,100,No,Yes
Spain,ES,Barcelona,Ciutat Vella,La Sagrada FamÃ­lia,"Barcelona, Catalunya, Spain",el Barri GÃ²tic,11006512,Alcam Colon 52 Apartment,"No pets are allowed. RESERVATIONS ACCEPTED ONLY OVER 25 YEARS or accompanied children. The apartment is ideal for families. 1. In this building families with children living 2. Avoid nuisance to neighbors 3. Is silent from 21:00 4. Remember not live alone 5. Use correctly the elevator 6. Violating the rules is cause for immediate dismissal without payment of your stay or bail. 7. Deposit 300 euros At the exit must return all sets of keys that you were given. The final day has to leave the apartment, at the latest, at the time of check-out described in the conditions of his apartment. You have to respect the apartment, furniture and equipment. It is not permitted to accommodate more people than stated in the booking contract. The noise is prohibited after 21:00 pm, inside the apartment and also on the stairs. Please do not disturb others when opening or closing the entrance of the building and apartment. This is particularly important and not make concessions. We do not accept stag grou",Entire home/apt,91,Apartment,2,3,Real Bed,2,6,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Crib', 'Elevator', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Heating', 'High chair', 'Host greets you', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Paid parking on premises', 'Shampoo', 'TV', 'Washer', 'Wifi'",41.37724,2.17831,Yes,32,1125,18,48,78,287,strict_14_with_grace_period,0,0,396363,Oscar And Diego,"Barcelona, CataluÃ±a, Spain",0,109,109,within an hour,100,No,No
