country,country_code,market,suburb,host_neighbourhood,street,government_area,_id,name,house_rules,room_type,price,property_type,bedrooms,beds,bed_type,bathrooms,accommodates,extra_people,guests_included,amenities,latitude,longitude,is_location_exact,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,cancellation_policy,cleaning_fee,review_scores,host_id,host_name,host_location,number_of_reviews,host_listings_count,host_total_listings_count,host_response_time,host_response_rate,host_is_superhost,host_identity_verified
United States,US,Oahu,OÊ»ahu,Waikiki,"Honolulu, HI, United States",Primary Urban Center,1001265,Ocean View Waikiki Marina w/prkg,The general welfare and well being of all the community.,Entire home/apt,115,Condominium,1,1,Real Bed,1,2,0,1,"Air conditioning', 'BBQ grill', 'Bed linens', 'Cable TV', 'Coffee maker', 'Cooking basics', 'Disabled parking spot', 'Dishes and silverware', 'Dryer', 'Elevator', 'Essentials', 'Ethernet connection', 'Extra pillows and blankets', 'Free parking on premises', 'Garden or backyard', 'Hair dryer', 'Hangers', 'Hot tub', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lockbox', 'Microwave', 'Pool', 'Refrigerator', 'Self check-in', 'Shampoo', 'Step-free access', 'Step-free access', 'Stove', 'TV', 'Washer', 'Well-lit path to entrance', 'Wide clearance to bed', 'Wifi'",21.28634,-157.83919,Yes,3,365,16,46,76,343,strict_14_with_grace_period,100,84,5448114,David,"Honolulu, Hawaii, United States",96,18,18,within an hour,98,No,No
United States,US,New York,Brooklyn,Bushwick,"Brooklyn, NY, United States",Bushwick,10021707,Private Room in Bushwick,no rules,Private room,40,Apartment,1,1,Real Bed,1,1,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Carbon monoxide detector', 'Essentials', 'Heating', 'Internet', 'Kitchen', 'Lock on bedroom door', 'Smoke detector', 'Wifi'",40.69791,-73.93615,Yes,14,1125,0,0,0,0,flexible,0,100,11275734,Josh,"New York, New York, United States",1,1,1,Not Specified,Not Specified,No,Yes
United States,US,New York,Manhattan,Not Specified,"New York, NY, United States",Upper West Side,1003530,New York City - Upper West Side Apt,"No smoking is permitted in the apartment. All towels that are used should be placed in the bath tub upon departure. I have a cat, Samantha, who can stay or go, whichever is preferred.   Please text me upon departure.",Private room,135,Apartment,1,1,Real Bed,1,2,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Elevator', 'Family/kid friendly', 'Heating', 'Internet', 'Kitchen', 'Washer', 'Wifi', 'translation missing: en.hosting_amenity_50'",40.79962,-73.96523,No,12,360,0,0,0,93,strict_14_with_grace_period,135,94,454250,Greta,"New York, New York, United States",70,3,3,within an hour,100,Yes,Yes
United States,US,New York,Greenpoint,Greenpoint,"Brooklyn, NY, United States",Greenpoint,10057826,Deluxe Loft Suite,Guest must leave a copy of credit card with front desk for any incidentals/ damages with a copy of valid ID. There are no additional charges than what has been paid in advance.,Entire home/apt,205,Apartment,0,2,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Cable TV', 'Carbon monoxide detector', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Fire extinguisher', 'First aid kit', 'Gym', 'Hair dryer', 'Hangers', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Shampoo', 'Smoke detector', 'TV', 'Washer', 'Wifi'",40.72778,-73.94472,Yes,3,1125,30,31,31,243,strict_14_with_grace_period,0,88,47554473,Mae,US,5,13,13,within a few hours,100,No,No
United States,US,New York,Manhattan,Chelsea,"New York, NY, United States",Chelsea,10096773,Easy 1 Bedroom in Chelsea,"This is my ""real"" apartment not one of those places that is constantly airbnb'd. Feel free to use the appliances or even pour yourself a drink at the bar but guests will need to be respectful of all of the things in the apartment which are not yours and also to the neighbors.",Entire home/apt,145,Apartment,1,1,Real Bed,1,2,0,1,"Carbon monoxide detector', 'Essentials', 'Fire extinguisher', 'Heating', 'Internet', 'Kitchen', 'Smoke detector', 'TV', 'Wifi'",40.74577,-74.00074,Yes,2,1125,0,0,0,0,flexible,60,100,34607505,Scott,"New York, New York, United States",1,1,1,Not Specified,Not Specified,No,Yes
United States,US,New York,Manhattan,Not Specified,"New York, NY, United States",Lower East Side,10120414,The LES Apartment,no rules,Entire home/apt,150,Apartment,1,1,Real Bed,1,3,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Dryer', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Hangers', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Shampoo', 'TV', 'Washer', 'Wifi'",40.72063,-73.98944,No,3,1125,0,0,0,0,flexible,0,0,33231070,Mert,"New York, New York, United States",0,1,1,Not Specified,Not Specified,No,Yes
United States,US,New York,Upper East Side,Not Specified,"New York, NY, United States",Upper East Side,10133350,2 bedroom Upper east side,no rules,Entire home/apt,275,Apartment,2,2,Real Bed,1,5,0,1,"Air conditioning', 'Buzzer/wireless intercom', 'Cable TV', 'Essentials', 'Family/kid friendly', 'Hair dryer', 'Heating', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Pets allowed', 'Pets live on this property', 'Shampoo', 'TV', 'Wifi'",40.7664,-73.95854,No,2,7,0,0,0,0,strict_14_with_grace_period,35,90,52004369,Chelsea,"Sea Cliff, New York, United States",9,2,2,Not Specified,Not Specified,No,Yes
United States,US,New York,Queens,Jackson Heights,"Queens, NY, United States",Jackson Heights,10138784,Room Close to LGA and 35 mins to Times Square,"* check-in time AFTER 5:00 pm. Guest is required to communicate and update by messaging AT LEAST 30 MINUTES prior your arrival. NO EARLY CHECK-IN to keep the other guest's privacy.  * STRICT CHECK-OUT TIME IS 11:00 AM. There will be an extra night charge for late check-out with no prior approval * Guest's visitors are not allowed to come in without prior approval * Please take off your shoes at the entrance of the apartment. Per AirBnBâ€™s policy, no 3rd-party bookings",Private room,46,Apartment,1,1,Real Bed,1,2,10,1,"Air conditioning', 'Bed linens', 'Buzzer/wireless intercom', 'Dog(s)', 'Elevator', 'Essentials', 'First aid kit', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Internet', 'Other pet(s)', 'Pets live on this property', 'Shampoo', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.74953,-73.88025,Yes,2,1125,30,60,90,365,strict_14_with_grace_period,15,99,52031360,Cheer,"New York, New York, United States",123,1,1,within an hour,100,Yes,Yes
United States,US,New York,Queens,Jamaica,"Queens, NY, United States",Briarwood,10140368,A bedroom far away from home,"No shoes allowed inside the apartment. Be polite, and we will get along :)",Private room,45,Apartment,1,1,Real Bed,1,2,10,1,"Carbon monoxide detector', 'Essentials', 'Family/kid friendly', 'Free street parking', 'Hair dryer', 'Hangers', 'Heating', 'Host greets you', 'Hot water', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Lock on bedroom door', 'Private entrance', 'Shampoo', 'Smoke detector', 'Wifi', 'translation missing: en.hosting_amenity_50'",40.71485,-73.82257,Yes,1,10,20,29,29,34,strict_14_with_grace_period,0,95,1017772,Lane,US,239,1,1,within an hour,100,Yes,Yes
United States,US,New York,Manhattan,East Harlem,"New York, NY, United States",East Harlem,10166883,Large railroad style 3 bedroom apt in Manhattan!,No smoking tobacco. Not allowed to go to other floors or rooftop.,Entire home/apt,180,Apartment,3,4,Real Bed,1,9,19,4,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Carbon monoxide detector', 'Cooking basics', 'Dishes and silverware', 'Essentials', 'Free street parking', 'Hair dryer', 'Heating', 'Hot water', 'Internet', 'Iron', 'Kitchen', 'Laptop friendly workspace', 'Microwave', 'Other', 'Oven', 'Paid parking off premises', 'Refrigerator', 'Shampoo', 'Single level home', 'Smoke detector', 'Stove', 'TV', 'Wifi', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50'",40.79805,-73.93943,Yes,3,6,0,0,0,0,strict_14_with_grace_period,59,95,35215309,Vick,"New York, New York, United States",22,1,1,Not Specified,Not Specified,No,Yes
United States,US,New York,Williamsburg,Williamsburg,"Brooklyn, NY, United States",Williamsburg,10166986,Resort-like living in Williamsburg,no rules,Entire home/apt,220,Apartment,2,2,Real Bed,1,4,0,1,"24-hour check-in', 'Air conditioning', 'Buzzer/wireless intercom', 'Doorman', 'Dryer', 'Elevator', 'Essentials', 'Family/kid friendly', 'Gym', 'Hangers', 'Heating', 'Hot tub', 'Internet', 'Iron', 'Kitchen', 'Pool', 'Smoke detector', 'TV', 'Washer', 'Wheelchair accessible', 'Wifi'",40.71552,-73.93869,Yes,5,1125,0,0,0,0,strict_14_with_grace_period,25,100,14461742,Mohammed,"Paris, ÃŽle-de-France, France",1,1,1,Not Specified,Not Specified,No,Yes
United States,US,The Big Island,Kailua/Kona,Kailua/Kona,"Kailua-Kona, HI, United States",North Kona,1022200,"Kailua-Kona, Kona Coast II 2b condo",no rules,Entire home/apt,135,Apartment,2,3,Real Bed,2,6,0,1,"Air conditioning', 'Cable TV', 'Dryer', 'Family/kid friendly', 'Free parking on premises', 'Gym', 'Internet', 'Kitchen', 'Pool', 'Washer', 'Wifi'",19.5702,-155.96445,Yes,7,7,0,13,43,196,strict_14_with_grace_period,0,100,3393610,Daniel,"Las Vegas, Nevada, United States",1,1,1,Not Specified,Not Specified,No,No
